encoded_value,district_name
720,Wanaparthy
721,Warangal
722,Wardha
723,Washim
724,Wayanad
725,West
726,West Garo Hills
727,West Godavari
728,West Jaintia Hills
729,West Kameng
730,West Karbi Anglong
731,West Khasi Hills
732,West Siang
733,West Singhbhum
734,West Tripura
736,Yadadri Bhuvanagiri
737,Yadgir
738,Yamunanagar
739,Yavatmal
744,Mauganj
747,Anupgarh
748,Didwana-Kuchaman
749,Dudu
750,Gangapurcity
751,Jaipur (Gramin)
752,Jodhpur (Gramin)
753,Kekri
754,Neem Ka Thana
755,Sanchore
756,Shahpura
757,Pakke Kessang
758,Deogarh
759,Sonepur
760,Manendragarh-Chirmiri-Bharatpur(M C B)
761,Mohla-Manpur-Ambagarh Chouki
762,Uttar Bastar Kanker
763,Y.S.R.
764,Jayashankar Bhupalapally
800,Chumoukedima
801,Dimapur
802,Kiphire
803,Kohima
804,Longleng
805,Mokokchung
806,Mon
807,Niuland
808,Noklak
809,Peren
810,Phek
811,Shamator
812,Tseminyu
813,Tuensang
814,Wokha
815,Zunheboto
900,Kargil
901,Leh Ladakh
950,Dadra And Nagar Haveli
951,Daman
952,Diu
953,Lakshadweep District
